LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var,AvgTT
Link 3,2018,4,06:00 PM-07:00 PM,3.03,1.93,0.95,0.45,1.33,1.54,0.61,2.08
Link 3,2018,4,07:00 PM-08:00 PM,2.48,1.66,0.7,0.39,1.2,1.89,0.46,1.78
Link 3,2018,4,08:00 PM-09:00 PM,2.4,1.7,0.66,0.38,1.23,2.29,0.49,1.74
Link 3,2018,4,09:00 PM-10:00 PM,2.15,1.53,0.48,0.29,1.19,1.86,0.38,1.67
Link 3,2018,4,10:00 PM-11:00 PM,2.34,1.66,0.64,0.37,1.21,1.82,0.48,1.7
Link 3,2018,4,11:00 PM-12:00 AM,2.15,1.52,0.5,0.3,1.17,2.0,0.4,1.65
Link 3,2018,1,12:00 AM-01:00 AM,2.34,1.66,0.7,0.43,1.16,1.96,0.43,1.64
Link 3,2018,1,01:00 AM-02:00 AM,2.24,1.63,0.61,0.37,1.19,2.04,0.45,1.63
Link 3,2018,1,03:00 AM-04:00 AM,2.09,1.51,0.44,0.27,1.19,1.79,0.37,1.65
Link 3,2018,1,04:00 AM-05:00 AM,2.37,1.71,0.67,0.39,1.23,2.31,0.51,1.7
Link 3,2018,1,05:00 AM-06:00 AM,2.36,1.73,0.53,0.29,1.34,2.41,0.5,1.82
Link 3,2018,1,06:00 AM-07:00 AM,2.55,1.81,0.77,0.43,1.26,1.82,0.48,1.78
Link 3,2018,1,07:00 AM-08:00 AM,2.24,1.59,0.47,0.27,1.25,1.84,0.43,1.76
Link 3,2018,1,08:00 AM-09:00 AM,2.34,1.66,0.58,0.33,1.25,2.29,0.49,1.76
Link 3,2018,1,09:00 AM-10:00 AM,2.34,1.72,0.64,0.37,1.25,2.27,0.47,1.7
Link 3,2018,1,10:00 AM-11:00 AM,2.34,1.72,0.64,0.37,1.25,1.68,0.43,1.7
Link 3,2018,1,11:00 AM-12:00 PM,2.4,1.7,0.71,0.42,1.2,2.35,0.45,1.69
Link 3,2018,1,12:00 PM-01:00 PM,2.21,1.57,0.54,0.32,1.18,1.62,0.39,1.67
Link 3,2018,1,01:00 PM-02:00 PM,2.15,1.52,0.48,0.28,1.19,2.0,0.4,1.67
Link 3,2018,1,02:00 PM-03:00 PM,2.55,1.78,0.69,0.37,1.3,1.82,0.53,1.86
Link 3,2018,1,03:00 PM-04:00 PM,2.73,1.87,0.85,0.45,1.28,1.91,0.57,1.88
Link 3,2018,1,04:00 PM-05:00 PM,2.26,1.6,0.59,0.35,1.18,1.62,0.39,1.67
Link 3,2018,1,05:00 PM-06:00 PM,2.1,1.49,0.45,0.28,1.17,1.46,0.37,1.65
Link 3,2018,1,06:00 PM-07:00 PM,2.21,1.57,0.56,0.34,1.17,1.46,0.37,1.65
Link 3,2018,1,07:00 PM-08:00 PM,2.34,1.66,0.6,0.34,1.24,1.83,0.42,1.74
Link 3,2018,1,08:00 PM-09:00 PM,2.17,1.54,0.51,0.31,1.18,1.83,0.42,1.66
Link 3,2018,1,09:00 PM-10:00 PM,2.47,1.73,0.7,0.39,1.24,2.14,0.53,1.77
Link 3,2018,1,10:00 PM-11:00 PM,2.48,1.73,0.71,0.4,1.24,2.27,0.55,1.77
Link 3,2018,1,11:00 PM-12:00 AM,2.48,1.76,0.71,0.4,1.26,2.29,0.49,1.77
Link 3,2018,2,12:00 AM-01:00 AM,2.4,1.73,0.71,0.42,1.21,2.54,0.53,1.69
Link 3,2018,2,02:00 AM-03:00 AM,3.27,2.35,1.42,0.77,1.33,4.0,0.68,1.85
Link 3,2018,2,03:00 AM-04:00 AM,3.03,2.05,1.09,0.56,1.31,3.68,0.71,1.94
Link 3,2018,2,04:00 AM-05:00 AM,2.45,1.71,0.71,0.41,1.22,2.22,0.45,1.74
Link 3,2018,2,05:00 AM-06:00 AM,2.4,1.7,0.66,0.38,1.23,2.28,0.5,1.74
Link 3,2018,2,06:00 AM-07:00 AM,2.73,1.85,0.87,0.47,1.26,2.39,0.6,1.86
Link 3,2018,2,07:00 AM-08:00 AM,5.45,2.74,2.04,0.6,1.71,0.71,0.85,3.41
Link 3,2018,2,08:00 AM-09:00 AM,6.29,2.93,2.34,0.59,1.84,0.6,0.89,3.95
Link 3,2018,2,09:00 AM-10:00 AM,4.3,2.69,1.88,0.78,1.51,5.22,1.31,2.42
Link 3,2018,2,10:00 AM-11:00 AM,2.46,1.59,0.6,0.32,1.21,2.04,0.4,1.86
Link 3,2018,2,11:00 AM-12:00 PM,2.55,1.66,0.66,0.35,1.23,1.68,0.46,1.89
Link 3,2018,2,12:00 PM-01:00 PM,2.64,1.71,0.75,0.4,1.23,1.81,0.43,1.89
Link 3,2018,2,01:00 PM-02:00 PM,2.64,1.61,0.66,0.34,1.21,1.52,0.44,1.98
Link 3,2018,2,02:00 PM-03:00 PM,2.73,1.61,0.7,0.35,1.19,1.71,0.43,2.03
Link 3,2018,2,03:00 PM-04:00 PM,2.82,1.55,0.65,0.3,1.19,1.5,0.43,2.17
Link 3,2018,2,04:00 PM-05:00 PM,3.41,1.87,1.03,0.43,1.31,1.14,0.54,2.38
Link 3,2018,2,05:00 PM-06:00 PM,3.27,1.8,0.88,0.37,1.31,1.08,0.55,2.39
Link 3,2018,2,06:00 PM-07:00 PM,2.92,1.83,0.88,0.43,1.28,1.68,0.56,2.04
Link 3,2018,2,07:00 PM-08:00 PM,2.34,1.64,0.58,0.33,1.23,1.42,0.38,1.76
Link 3,2018,2,08:00 PM-09:00 PM,2.27,1.61,0.59,0.35,1.19,1.62,0.39,1.68
Link 3,2018,2,09:00 PM-10:00 PM,2.14,1.52,0.48,0.29,1.18,1.73,0.41,1.66
Link 3,2018,2,10:00 PM-11:00 PM,2.23,1.6,0.49,0.28,1.25,2.04,0.45,1.74
Link 3,2018,2,11:00 PM-12:00 AM,2.26,1.69,0.61,0.37,1.23,2.27,0.47,1.65
Link 3,2019,3,12:00 AM-01:00 AM,2.28,1.65,0.59,0.35,1.22,2.17,0.47,1.69
Link 3,2019,3,01:00 AM-02:00 AM,2.32,1.68,0.68,0.42,1.18,2.82,0.48,1.63
Link 3,2019,3,04:00 AM-05:00 AM,2.38,1.66,0.64,0.37,1.22,2.03,0.45,1.74
Link 3,2019,3,05:00 AM-06:00 AM,2.63,1.84,0.83,0.46,1.26,2.52,0.54,1.8
Link 3,2019,3,06:00 AM-07:00 AM,3.13,2.03,1.1,0.54,1.32,2.24,0.7,2.03
Link 3,2019,3,07:00 AM-08:00 AM,5.81,2.57,2.11,0.57,1.64,0.89,0.8,3.7
Link 3,2019,3,08:00 AM-09:00 AM,6.78,2.0,2.52,0.59,1.26,1.0,0.54,4.26
Link 3,2019,3,09:00 AM-10:00 AM,4.52,2.82,2.05,0.83,1.54,4.62,1.27,2.47
Link 3,2019,3,10:00 AM-11:00 AM,2.47,1.57,0.58,0.31,1.2,1.67,0.4,1.89
Link 3,2019,3,11:00 AM-12:00 PM,2.54,1.59,0.67,0.36,1.17,1.67,0.4,1.87
Link 3,2019,3,12:00 PM-01:00 PM,2.54,1.62,0.67,0.36,1.19,2.15,0.46,1.87
Link 3,2019,3,01:00 PM-02:00 PM,2.81,1.65,0.78,0.38,1.2,1.23,0.44,2.03
Link 3,2019,3,02:00 PM-03:00 PM,2.81,1.65,0.71,0.34,1.23,1.38,0.42,2.1
Link 3,2019,3,03:00 PM-04:00 PM,3.01,1.63,0.74,0.32,1.23,1.42,0.47,2.27
Link 3,2019,3,04:00 PM-05:00 PM,3.14,1.66,0.79,0.34,1.24,1.33,0.5,2.34
Link 3,2019,3,05:00 PM-06:00 PM,3.26,1.75,0.91,0.39,1.26,1.23,0.52,2.35
Link 3,2019,3,06:00 PM-07:00 PM,3.13,1.96,0.97,0.45,1.35,1.13,0.56,2.16
Link 3,2019,3,07:00 PM-08:00 PM,2.33,1.63,0.58,0.33,1.22,2.22,0.45,1.75
